iter	MultiClass
134	0.45774176
135	0.4554742629
136	0.4549602
137	0.4521900392
138	0.4513551728
139	0.4505306397
140	0.4494355718
141	0.4479462636
142	0.4468692155
143	0.4461096688
144	0.444909516
145	0.4436256532
146	0.4425118906
147	0.4414017715
148	0.439809332
149	0.4383090394
150	0.4377656315
151	0.4361812439
152	0.4345804488
153	0.4327842982
154	0.4317994521
155	0.4309349527
156	0.4304289553
157	0.4287339941
158	0.4268679124
159	0.4260864536
160	0.4257634669
161	0.4241287161
162	0.4237200832
163	0.4225885381
164	0.4219768104
165	0.4216623509
166	0.42075334
167	0.4203704913
168	0.4197220581
169	0.4186531675
170	0.4176672722
171	0.4173703498
172	0.416318856
173	0.4162805458
174	0.4157103861
175	0.4152833435
176	0.4133487969
177	0.4125705933
178	0.4121289114
179	0.4112765534
180	0.4112475639
181	0.4106277246
182	0.4099900998
183	0.4092974054
184	0.4083797519
185	0.4074922966
186	0.4065419722
187	0.4058445279
188	0.4050742854
189	0.4042427898
190	0.4038135469
191	0.4028753972
192	0.4025745458
193	0.4025476791
194	0.4017726778
195	0.4014854245
196	0.40117183
197	0.4002894412
198	0.4002410382
199	0.3992176379
200	0.3985932567
201	0.3974762814
202	0.3973877365
203	0.3968595872
204	0.3962314605
205	0.3959802765
206	0.3958482078
207	0.3955663767
208	0.3955450599
209	0.3949205246
210	0.39489721
211	0.3944430165
212	0.3944231745
213	0.3941344036
214	0.3934393809
215	0.3927621604
216	0.392700419
217	0.3926019732
218	0.3923327406
219	0.3916480123
220	0.3916264106
221	0.3907246746
222	0.3904104692
223	0.3903762326
224	0.3901960952
225	0.389681778
226	0.3894770285
227	0.3892306877
228	0.3892067575
229	0.388967917
230	0.3885564854
231	0.3885077358
232	0.3884789992
233	0.3884350454
234	0.3877575153
235	0.3874267628
236	0.387406489
237	0.3873784765
238	0.3861664151
239	0.3854594979
240	0.3851488851
241	0.385134337
242	0.3850802974
243	0.3850633463
244	0.3850298958
245	0.3850113222
246	0.3846426817
247	0.3844486548
248	0.3844237746
249	0.3841646377
250	0.383762394
251	0.383738968
252	0.3833856026
253	0.3831179826
254	0.3826146296
255	0.3825826382
256	0.3824554658
257	0.3819708833
258	0.3816409554
259	0.3811256559
260	0.380467903
261	0.3804395473
262	0.3804042024
263	0.3799449774
264	0.3799204986
265	0.379477205
266	0.3793045903
267	0.3790921095
268	0.3780045739
269	0.3775217755
270	0.3774828772
271	0.3774649022
272	0.3774238037
273	0.3771553825
274	0.3765090396
275	0.3754551621
276	0.375434069
277	0.3748051116
278	0.3742582955
279	0.3738776321
280	0.3733807299
281	0.3728432517
282	0.3725213599
283	0.3723673079
284	0.3718854101
285	0.3718630668
286	0.3715232741
287	0.371483872
288	0.3714602034
289	0.371400532
290	0.3710839641
291	0.3710674546
292	0.369819859
293	0.3694860612
294	0.3694530929
295	0.3692799861
296	0.3692314356
297	0.3692131822
298	0.3677469439
299	0.3677304732
300	0.3676976135
301	0.3675908715
302	0.3675105176
303	0.3672737163
304	0.3669423228
305	0.3667905711
306	0.3663391743
307	0.3663149528
308	0.3662913116
309	0.3659177283
310	0.365882115
311	0.3653355573
312	0.3651126073
313	0.3647961703
314	0.3642889704
315	0.3631616685
316	0.3631290214
317	0.3628895327
318	0.3626648164
319	0.3626346825
320	0.3624085646
321	0.3619018157
322	0.3618834307
323	0.3617597597
324	0.3612472895
325	0.3610055109
326	0.3607904121
327	0.3607763937
328	0.3599442386
329	0.3596873564
330	0.359392222
331	0.3589688226
332	0.3585363939
333	0.3584953281
334	0.3582294261
335	0.3580082747
336	0.3579648775
337	0.3578796609
338	0.3571883768
339	0.3567281543
340	0.3563951239
341	0.3563779177
342	0.356190816
343	0.3561625105
344	0.3556253848
345	0.3556086702
346	0.3553704139
347	0.3548751244
348	0.3547559797
349	0.3545785862
350	0.3545547292
351	0.354097552
352	0.3538763205
353	0.3536452708
354	0.3530407427
355	0.3530111502
356	0.3528237023
357	0.3521327757
358	0.3519709182
359	0.3519539673
360	0.3517396318
361	0.3516744576
362	0.3514240331
363	0.3513977269
364	0.3509784975
365	0.3508914568
366	0.3507374478
367	0.3504322281
368	0.3504162074
369	0.3501149848
370	0.3500963227
371	0.3499095299
372	0.3495148765
373	0.3493221644
374	0.3490623612
375	0.3488860646
376	0.348858635
377	0.3485659499
378	0.3479256968
379	0.3479069868
380	0.3477567308
381	0.3473571256
382	0.3471800996
383	0.3471493184
384	0.3467266005
385	0.3465706722
386	0.3465490186
387	0.3465322944
388	0.346245643
389	0.3460684759
390	0.3460327468
391	0.3456011491
392	0.3453662979
393	0.3453238904
394	0.3452517774
395	0.3450211146
396	0.3446869908
397	0.3446751787
398	0.3445540896
399	0.3442855849
400	0.3441168416
401	0.3439523355
402	0.343844984
403	0.3438192873
404	0.343696223
405	0.3430799719
406	0.3430575854
407	0.3427937209
408	0.3426322048
409	0.3420897398
410	0.3417385435
411	0.3415534799
412	0.3412032205
413	0.3411832386
414	0.3408767116
415	0.3402566942
416	0.3400511018
417	0.3399115018
418	0.3398866701
419	0.3396550432
420	0.3396326099
421	0.3394056947
422	0.338898134
423	0.3387440246
424	0.3384491615
425	0.3384358897
426	0.338097282
427	0.3380822431
428	0.3377410789
429	0.3376293888
430	0.3373908614
431	0.3371160939
432	0.3370929647
433	0.3368732921
434	0.3367090284
435	0.3361701381
436	0.3361281443
437	0.3361034222
438	0.3360177018
439	0.3357627899
440	0.3356135051
441	0.3354977188
442	0.3353426308
443	0.3350069433
444	0.3347962018
445	0.334777404
446	0.3347464815
447	0.334417257
448	0.3342244754
449	0.3339359145
450	0.3339216033
451	0.3334963993
452	0.3334860058
453	0.3333001493
454	0.3331500351
455	0.3329451295
456	0.3324504663
457	0.3319725966
458	0.3319552218
459	0.3317450898
460	0.3317308773
461	0.3314852186
462	0.3312381995
463	0.3309930848
464	0.3309747305
465	0.3309515447
466	0.3308778341
467	0.3307396942
468	0.3305598787
469	0.3303635478
470	0.3302216713
471	0.3302051083
472	0.3301345279
473	0.3299741974
474	0.3297246364
475	0.3297089918
476	0.3294896777
477	0.3294573202
478	0.3293271348
479	0.3292999427
480	0.3290097023
481	0.3286951398
482	0.3282902206
483	0.328069058
484	0.3278786654
485	0.3278629119
486	0.3274045556
487	0.3272068122
488	0.3271937186
489	0.3270506728
490	0.3266179529
491	0.3265985671
492	0.3265799954
493	0.3265231943
494	0.3262421552
495	0.3260468052
496	0.3259464877
497	0.3256799747
498	0.3253444994
499	0.3251519469
500	0.3249029827
501	0.3247140568
502	0.3244560198
503	0.3242624609
504	0.3242383723
505	0.3236244999
506	0.3233353694
507	0.3233110332
508	0.323140822
509	0.322541431
510	0.3219796235
511	0.3217775791
512	0.321758206
513	0.3217371266
514	0.3217250824
515	0.3215737692
516	0.3214729217
517	0.3213153263
518	0.3212983204
519	0.3212802654
520	0.3211223867
521	0.3210758069
522	0.3207849658
523	0.3205774172
524	0.320562531
525	0.3204612548
526	0.3202876562
527	0.3200553451
528	0.3200356814
529	0.3198666367
530	0.3198434162
531	0.3197030204
532	0.3193208521
533	0.3193000179
534	0.3192807854
535	0.3191560249
536	0.3190311321
537	0.3190092033
538	0.3189957304
539	0.3185979274
540	0.3184455686
541	0.3182210148
542	0.3177360067
543	0.3175636679
544	0.3173739744
545	0.3171961595
546	0.3168911168
547	0.3164639914
548	0.3164468712
549	0.3162871606
550	0.3161139381
551	0.3160936943
552	0.3159407809
553	0.3157969525
554	0.315603955
555	0.3152410881
556	0.3150639601
557	0.3150459123
558	0.3149211938
559	0.3148949046
560	0.3148818011
561	0.3148332303
562	0.3146618105
563	0.3146376577
564	0.3146178903
565	0.3143673567
566	0.314345482
567	0.3142047701
568	0.3140615298
569	0.3138470745
570	0.313458945
571	0.3133554794
572	0.3131119256
573	0.3130209354
574	0.3129587932
575	0.3128153668
576	0.3126913672
577	0.3126081563
578	0.31248738
579	0.3122014192
580	0.3120449732
581	0.3120310857
582	0.3120075244
583	0.3119632644
584	0.3119482551
585	0.3119355753
586	0.311835973
587	0.3116809976
588	0.3115996166
589	0.3115880814
590	0.3115090834
591	0.3112550622
592	0.3107995953
593	0.3104070582
594	0.3102301176
595	0.3102080747
596	0.3100762709
597	0.3100032367
598	0.3097028509
599	0.3096682558
600	0.3096506052
601	0.3095695544
602	0.3094436571
603	0.3092487476
604	0.3092363646
605	0.3089261999
606	0.308826989
607	0.3087134792
608	0.308651779
609	0.3083349006
610	0.3079398598
611	0.3079212139
612	0.307770483
613	0.3077556392
614	0.3073504188
615	0.3071877006
616	0.3069450924
617	0.3067828695
618	0.3065935246
619	0.306571594
620	0.3063379657
621	0.306176116
622	0.3061603387
623	0.3061433718
624	0.3060020477
625	0.3059835939
626	0.3057152275
627	0.3055888984
628	0.305525509
629	0.305302469
630	0.3052889159
631	0.3051778189
632	0.3049514174
633	0.3046692687
634	0.3046018127
635	0.30448611
636	0.3043548586
637	0.3041271968
638	0.3040252759
639	0.3039464201
640	0.3037477665
641	0.3035296648
642	0.303508152
643	0.3031108909
644	0.3028428897
645	0.3027079504
646	0.3025919539
647	0.3024368258
648	0.3024193274
649	0.3023564957
650	0.3022569763
651	0.3022355841
652	0.3020722146
653	0.30204747
654	0.3018140797
655	0.3018002663
656	0.3015401263
657	0.3014698958
658	0.301401671
659	0.3013811469
660	0.3012022589
661	0.3010780902
662	0.3009771672
663	0.3007794331
664	0.3006784536
665	0.3005965409
666	0.3004471049
667	0.3001381116
668	0.2999207388
669	0.2999004272
670	0.2998180996
671	0.2997852861
672	0.2997072593
673	0.2995086348
674	0.2994895912
675	0.2993093937
676	0.2991909416
677	0.2991027003
678	0.2990216598
679	0.2990085459
680	0.2988087034
681	0.2987188531
682	0.2985759375
683	0.2984437091
684	0.2984162409
685	0.2983272035
686	0.2983145395
687	0.2982072385
688	0.2980985253
689	0.2979813318
690	0.2978501822
691	0.2975904035
692	0.2975636118
693	0.2974637446
694	0.2974496131
695	0.2972726318
696	0.297217487
697	0.2970658542
698	0.2969108349
699	0.2968954963
700	0.2967333835
701	0.2966911576
702	0.2966547811
703	0.2966373156
704	0.2966257001
705	0.2964883273
706	0.2961855185
707	0.2959713687
708	0.2959402136
709	0.2959244313
710	0.2957534469
711	0.2956196095
712	0.2955921044
713	0.2954924265
714	0.2953585231
715	0.2952008375
716	0.295062819
717	0.2950460801
718	0.2950237272
719	0.2950099812
720	0.2949111273
721	0.2945540385
722	0.2945166236
723	0.2941906418
724	0.2941783051
725	0.2941623095
726	0.2939535932
727	0.2938905391
728	0.2937480338
729	0.293735141
730	0.2935115266
731	0.2934247341
732	0.293152718
733	0.2930294188
734	0.2929486978
735	0.2929185065
736	0.2926766825
737	0.292664102
738	0.2926467724
739	0.2924964041
740	0.2923099964
741	0.2922966859
742	0.2921992413
743	0.2921160457
744	0.2918843257
745	0.2918725702
746	0.2917794302
747	0.2916747019
748	0.2916621593
749	0.2916401048
750	0.2914688075
751	0.2913514026
752	0.2913399172
753	0.2912507812
754	0.2912381245
755	0.2911760251
756	0.2910487944
757	0.290854639
758	0.2906725188
759	0.2905649404
760	0.290315969
761	0.2903052808
762	0.2900726515
763	0.289880295
764	0.2898585171
765	0.2897114771
766	0.289592947
767	0.2892025506
768	0.2891837214
769	0.2889378812
770	0.2887978893
771	0.2885848705
772	0.2884393687
773	0.2883335184
774	0.2882505588
775	0.2881726978
776	0.288038915
777	0.2880179467
778	0.2877101386
779	0.2876989689
780	0.2876795808
781	0.2876236998
782	0.2873976026
783	0.2872603077
784	0.287150055
785	0.2869999244
786	0.2869798985
787	0.2869119717
788	0.2868084369
789	0.2866144518
790	0.2866016657
791	0.2863952762
792	0.2862558053
793	0.286210155
794	0.2860883739
795	0.285961099
796	0.2858172769
797	0.2857111797
798	0.2856182126
799	0.2854078361
800	0.285321241
801	0.2852505233
802	0.2851687224
803	0.2850370912
804	0.2850170967
805	0.2849353107
806	0.2849194077
807	0.2847476661
808	0.2846592663
809	0.2846416158
810	0.2846297542
811	0.2845428321
812	0.2844453679
813	0.2842773319
814	0.2841579582
815	0.2841473429
816	0.28413349
817	0.2839990748
818	0.2839212363
819	0.2839103863
820	0.2837426375
821	0.2836228084
822	0.2835742797
823	0.2835344799
824	0.2835152335
825	0.2833908256
826	0.283211066
827	0.2830528613
828	0.2829744932
829	0.2828373055
830	0.2828151322
831	0.2826456011
832	0.2826349995
833	0.282526427
834	0.2824976045
835	0.2823179144
836	0.282304054
837	0.2820921082
838	0.2820818245
839	0.2820622907
840	0.2820063539
841	0.2819941315
842	0.2818135127
843	0.2818024733
844	0.2817881761
845	0.2816210337
846	0.2815698285
847	0.2814789343
848	0.2814137438
849	0.2813144143
850	0.2813023191
851	0.2812910835
852	0.2812728121
853	0.2812621932
854	0.281157531
855	0.2811428398
856	0.2809575142
857	0.2809156011
858	0.2806076376
859	0.2805941107
860	0.2805820395
861	0.2805239694
862	0.28009137
863	0.280064656
864	0.2800517188
865	0.2797854429
866	0.279595836
867	0.2791473016
868	0.2790412826
869	0.2789592125
870	0.2789290694
871	0.2787816064
872	0.2786700941
873	0.2785608234
874	0.2785492409
875	0.2783038677
876	0.2777300106
877	0.2775502972
878	0.2772223616
879	0.2770981974
880	0.2769262946
881	0.2767447117
882	0.276729096
883	0.2766030341
884	0.2764925567
885	0.2764381241
886	0.276345867
887	0.2762539877
888	0.276172171
889	0.275834004
890	0.2757071636
891	0.2756912344
892	0.2755310131
893	0.2753845
894	0.2752010536
895	0.2750702637
896	0.2749346002
897	0.2747354931
898	0.2745958936
899	0.2745338617
900	0.2744403798
901	0.2741214201
902	0.2740488767
903	0.2740129848
904	0.2740007662
905	0.2739263059
906	0.2737625812
907	0.2737498141
908	0.2736219918
909	0.2735305366
910	0.2734193002
911	0.2732096079
912	0.2731425712
913	0.2731262704
914	0.2730278137
915	0.2728247449
916	0.2725327779
917	0.272519856
918	0.2722537844
919	0.2721493248
920	0.272138051
921	0.2720002798
922	0.2718601202
923	0.2717576444
924	0.2717422336
925	0.2717212676
926	0.2716559345
927	0.2714805171
928	0.271417359
929	0.2711948969
930	0.2711148675
931	0.2709749243
932	0.2708708751
933	0.2707551174
934	0.2706757676
935	0.2705294295
936	0.2704615522
937	0.2703434926
938	0.2702710799
939	0.270162582
940	0.2699989836
941	0.2699297953
942	0.2698933742
943	0.2697342001
944	0.2697192716
945	0.2695075373
946	0.2692637197
947	0.2690826016
948	0.2690710738
949	0.2689516192
950	0.2688222704
951	0.2685391807
952	0.2683549345
953	0.2683431771
954	0.2681989206
955	0.2681250146
956	0.267993592
957	0.2678891131
958	0.2678758433
959	0.2673694505
960	0.2673550313
961	0.2672705284
962	0.2668695827
963	0.2664169953
964	0.2663985442
965	0.2661512623
966	0.2660742092
967	0.2659630833
968	0.2657900823
969	0.2655636397
970	0.2652902501
971	0.265173991
972	0.2648961524
973	0.2648336224
974	0.2648142163
975	0.2647328062
976	0.264720707
977	0.2646476594
978	0.2644797246
979	0.2643121639
980	0.2641940769
981	0.2641822825
982	0.2641726711
983	0.2640481743
984	0.2639827449
985	0.2639170872
986	0.263817638
987	0.263696394
988	0.2636860437
989	0.2635869889
990	0.2635117022
991	0.2633953888
992	0.2630640429
993	0.2628590409
994	0.2628438455
995	0.2628308244
996	0.2626993651
997	0.2624952109
998	0.2623710392
999	0.2623127413
